Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,surfacetempyear,totprecipyear
Afghanistan,Asia/Pacific,AFG,National,AFGt,Total,2022,10.82,0.014
Albania,Europe,ALB,National,ALBt,Total,2022,13.75,0.041
Algeria,Africa,DZA,National,DZAt,Total,2022,19.83,0.008
Andorra,Europe,AND,National,ANDt,Total,2022,7.176,0.029
Angola,Africa,AGO,National,AGOt,Total,2022,22.69,0.032
Antigua and Barbuda,America,ATG,National,ATGt,Total,2022,26.19,0.028
Argentina urban,America,ARG,National,ARGt,Total,2022,15.6,0.019
Armenia,Asia/Pacific,ARM,National,ARMt,Total,2022,8.193,0.021
Australia,Asia/Pacific,AUS,National,AUSt,Total,2022,19.01,0.025
Austria,Europe,AUT,National,AUTt,Total,2022,8.363,0.039
Azerbaijan,Europe,AZE,National,AZEt,Total,2022,12.56,0.016
Bahamas, The America,BHS,National,BHSt,Total,2022,25.87,0.03
Bahrain,Asia/Pacific,BHR,National,BHRt,Total,2022,26.62,0.001
Bangladesh,Asia/Pacific,BGD,National,BGDt,Total,2022,25.8,0.057
Barbados,America,BRB,National,BRBt,Total,2022,26.35,0.041
Belarus,Europe,BLR,National,BLRt,Total,2022,7.839,0.027
Belgium,Europe,BEL,National,BELt,Total,2022,11.59,0.028
Belize,America,BLZ,National,BLZt,Total,2022,26,0.057
Benin,Africa,BEN,National,BENt,Total,2022,27.39,0.035
Bhutan,Asia/Pacific,BTN,National,BTNt,Total,2022,11.08,0.116
Bolivia,America,BOL,National,BOLt,Total,2022,18.08,0.038
Bosnia and Herzegovina,Europe,BIH,National,BIHt,Total,2022,11.61,0.034
Botswana,Africa,BWA,National,BWAt,Total,2022,21.34,0.017
Brazil,America,BRA,National,BRAt,Total,2022,24.21,0.047
Brunei Darussalam,Asia/Pacific,BRN,National,BRNt,Total,2022,26.41,0.124
Bulgaria,Europe,BGR,National,BGRt,Total,2022,12.25,0.019
Burkina Faso,Africa,BFA,National,BFAt,Total,2022,28.51,0.022
Burundi,Africa,BDI,National,BDIt,Total,2022,20.9,0.065
Cambodia,Asia/Pacific,KHM,National,KHMt,Total,2022,27.5,0.068
Cameroon,Africa,CMR,National,CMRt,Total,2022,24.57,0.059
Canada,America,CAN,National,CANt,Total,2022,0.6,0.03
Cape Verde,Africa,CPV,National,CPVt,Total,2022,23.25,0.005
Central African Republic CAR,Africa,CAF,National,CAFt,Total,2022,26.23,0.035
Chad,Africa,TCD,National,TCDt,Total,2022,27.86,0.018
Chili,America,CHL,National,CHLt,Total,2022,9.418,0.037
China,Asia/Pacific,CHN,National,CHNt,Total,2022,13.25,0.036
Colombia,America,COL,National,COLt,Total,2022,22.79,0.119
Comoros,Africa,COM,National,COMt,Total,2022,25.46,0.034
Congo Brazzaville,Africa,COG,National,COGt,Total,2022,25.02,0.046
Congo Democratic Republic,Africa,COD,National,CODt,Total,2022,24.27,0.053
Costa Rica,America,CRI,National,CRIt,Total,2022,22.22,0.122
Cote d'Ivoire,Africa,CIV,National,CIVt,Total,2022,26.47,0.042
Croatia,Europe,HRV,National,HRVt,Total,2022,13.3,0.03
Cuba,America,CUB,National,CUBt,Total,2022,25.82,0.029
Cyprus,Europe,CYP,National,CYPt,Total,2022,19.31,0.013
Czechia,Europe,CZE,National,CZEt,Total,2022,9.636,0.028
Denmark,Europe,DNK,National,DNKt,Total,2022,9.732,0.025
Djibouti,Africa,DJI,National,DJIt,Total,2022,28.69,0.006
Dominica,America,DMA,National,DMAt,Total,2022,25.7,0.036
Dominican Republic,America,DOM,National,DOMt,Total,2022,24.27,0.031
Ecuador,America,ECU,National,ECUt,Total,2022,20.84,0.077
Egypt,Africa,EGY,National,EGYt,Total,2022,22.44,0.001
El Salvador,America,SLV,National,SLVt,Total,2022,26.09,0.064
Equatorial Guinea,Africa,GNQ,National,GNQt,Total,2022,24.33,0.09
Eritrea,Africa,ERI,National,ERIt,Total,2022,25.4,0.012
Estonia,Europe,EST,National,ESTt,Total,2022,6.864,0.023
Eswatini,Africa,SWZ,National,SWZt,Total,2022,19.62,0.034
Ethiopia,Africa,ETH,National,ETHt,Total,2022,23.21,0.028
Fiji,Asia/Pacific,FJI,National,FJIt,Total,2022,25.08,0.096
Finland,Europe,FIN,National,FINt,Total,2022,5.599,0.022
France,Europe,FRA,National,FRAt,Total,2022,14.26,0.032
French Polynesia,Asia/Pacific,PYF,National,PYFt,Total,2022,25.17,0.048
Gabon,Africa,GAB,National,GABt,Total,2022,25.03,0.068
Gambia,Africa,GMB,National,GMBt,Total,2022,27.58,0.03
Georgia,Asia/Pacific,GEO,National,GEOt,Total,2022,8.962,0.04
Germany,Europe,DEU,National,DEUt,Total,2022,10.7,0.026
Ghana,Africa,GHA,National,GHAt,Total,2022,27.32,0.036
Gibraltar,Europe,GIB,National,GIBt,Total,2022,18.33,0.02
Greece,Europe,GRC,National,GRCt,Total,2022,16.09,0.024
Greenland,America,GRL,National,GRLt,Total,2022,-17.12,0.017
Grenada,America,GRD,National,GRDt,Total,2022,26.48,0.049
Guatemala,America,GTM,National,GTMt,Total,2022,22.45,0.07
Guinea,Africa,GIN,National,GINt,Total,2022,26.13,0.063
Guinea Bissau,Africa,GNB,National,GNBt,Total,2022,27.47,0.053
Guyana,America,GUY,National,GUYt,Total,2022,25.44,0.092
Haiti,America,HTI,National,HTIt,Total,2022,25.41,0.025
Honduras,America,HND,National,HNDt,Total,2022,23.84,0.063
Hungary,Europe,HUN,National,HUNt,Total,2022,12.34,0.02
Iceland,Europe,ISL,National,ISLt,Total,2022,1.777,0.051
India,Asia/Pacific,IND,National,INDt,Total,2022,22.95,0.055
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2022,25.58,0.106
Iran,Asia/Pacific,IRN,National,IRNt,Total,2022,17.27,0.011
Iraq,Asia/Pacific,IRQ,National,IRQt,Total,2022,24.28,0.006
Ireland,Europe,IRL,National,IRLt,Total,2022,10.52,0.035
Isle of Man,Europe,IMN,National,IMNt,Total,2022,11.15,0.036
Israel,Asia/Pacific,ISR,National,ISRt,Total,2022,20.45,0.006
Italy,Europe,ITA,National,ITAt,Total,2022,13.68,0.028
Jamaica,America,JAM,National,JAMt,Total,2022,26.07,0.034
Japan,Asia/Pacific,JPN,National,JPNt,Total,2022,13.67,0.058
Jersey,Europe,JEY,National,JEYt,Total,2022,13.26,0.036
